Country,Clicks,Impressions,CTR,Position
India,63,2647,2.38%,6.41
United States,42,14467,0.29%,8
France,26,1560,1.67%,7.77
Singapore,18,1558,1.16%,6.78
Germany,17,962,1.77%,8.27
United Kingdom,13,895,1.45%,7.18
Croatia,11,960,1.15%,2.23
Vietnam,11,865,1.27%,7.52
Poland,11,722,1.52%,7.24
South Korea,10,1395,0.72%,7.55
Canada,10,1254,0.8%,7.27
China,9,881,1.02%,7.16
Australia,9,518,1.74%,7.3
Spain,8,590,1.36%,7.56
Taiwan,8,570,1.4%,7.34
Switzerland,8,456,1.75%,7.44
Kazakhstan,8,93,8.6%,8.45
Italy,7,759,0.92%,7.46
Argentina,7,438,1.6%,7.69
Netherlands,7,435,1.61%,8.34
Czechia,7,307,2.28%,6.97
Japan,6,1743,0.34%,7.24
Sweden,6,194,3.09%,7.64
Turkey,5,473,1.06%,7.78
Belgium,5,143,3.5%,7.66
Brazil,4,1744,0.23%,7.16
Indonesia,4,840,0.48%,7
Mexico,4,563,0.71%,7.77
Israel,4,451,0.89%,7.12
Finland,4,120,3.33%,8.56
Hong Kong,3,572,0.52%,6.8
Philippines,3,386,0.78%,7.6
Colombia,3,307,0.98%,6.85
United Arab Emirates,3,204,1.47%,7.63
New Zealand,3,173,1.73%,7.21
South Africa,3,129,2.33%,7.79
Denmark,3,103,2.91%,6.94
Armenia,3,44,6.82%,6.11
Thailand,2,401,0.5%,7.38
Malaysia,2,394,0.51%,7.25
Ukraine,2,367,0.54%,7.37
Russia,2,359,0.56%,7.59
Portugal,2,341,0.59%,6.89
Romania,2,278,0.72%,7.18
Ireland,2,192,1.04%,7.88
Hungary,2,138,1.45%,7.05
Serbia,2,132,1.52%,8.25
Austria,2,130,1.54%,7.87
Nigeria,2,66,3.03%,5.92
Belarus,2,65,3.08%,7.03
Bangladesh,1,283,0.35%,6.63
Pakistan,1,257,0.39%,7.28
Greece,1,160,0.62%,7.07
Saudi Arabia,1,150,0.67%,8.89
Peru,1,143,0.7%,6.98
Norway,1,126,0.79%,8.63
Iran,1,112,0.89%,7.32
Slovakia,1,110,0.91%,7.35
Lithuania,1,97,1.03%,8.42
Algeria,1,94,1.06%,8.07
Nepal,1,89,1.12%,7.2
Dominican Republic,1,81,1.23%,8.01
Slovenia,1,67,1.49%,8.22
Georgia,1,66,1.52%,7.2
Uruguay,1,55,1.82%,8.45
Kenya,1,54,1.85%,7.69
Sri Lanka,1,42,2.38%,7.24
Luxembourg,1,38,2.63%,7.92
Estonia,1,37,2.7%,8.24
Curaçao,1,3,33.33%,3
Chile,0,213,0%,7.35
Ecuador,0,173,0%,8.25
Egypt,0,145,0%,8.26
Bulgaria,0,135,0%,7.56
Morocco,0,131,0%,8.47
Iraq,0,97,0%,10.74
Latvia,0,64,0%,7.91
Cyprus,0,61,0%,7.61
Puerto Rico,0,58,0%,7.09
Venezuela,0,54,0%,7.91
Bosnia & Herzegovina,0,45,0%,7.71
Tunisia,0,44,0%,7
Jordan,0,39,0%,8.87
Panama,0,38,0%,8.45
Paraguay,0,38,0%,9.61
Albania,0,37,0%,7.32
Uzbekistan,0,37,0%,8.32
Cambodia,0,36,0%,6.78
Moldova,0,36,0%,7.56
Azerbaijan,0,35,0%,10.66
Costa Rica,0,33,0%,7.03
Macedonia,0,32,0%,6.75
Bolivia,0,32,0%,9.41
Ethiopia,0,30,0%,9.63
Mongolia,0,27,0%,6.93
Oman,0,27,0%,8.44
El Salvador,0,25,0%,6.16
Palestine,0,24,0%,6.33
Unknown Region,0,24,0%,6.67
Honduras,0,23,0%,7.91
Kosovo,0,23,0%,8
Uganda,0,23,0%,8.22
Qatar,0,23,0%,9.22
Jamaica,0,23,0%,10.04
Trinidad & Tobago,0,22,0%,7.64
Lebanon,0,21,0%,8.33
Ghana,0,19,0%,7.68
Guatemala,0,18,0%,6.61
Malta,0,18,0%,8.06
Kuwait,0,17,0%,7.06
Côte d’Ivoire,0,16,0%,8.25
Iceland,0,16,0%,8.75
Libya,0,15,0%,7.13
Montenegro,0,14,0%,8.21
Maldives,0,13,0%,6.92
Myanmar (Burma),0,13,0%,8
Bahamas,0,13,0%,8.46
Nicaragua,0,13,0%,8.54
Kyrgyzstan,0,13,0%,9.62
Cuba,0,12,0%,7.67
Senegal,0,12,0%,7.83
Syria,0,11,0%,5.91
Tajikistan,0,9,0%,5.67
Macau,0,9,0%,7.11
Tanzania,0,8,0%,6
Bahrain,0,8,0%,6.25
Cameroon,0,8,0%,6.62
Andorra,0,8,0%,7.5
Jersey,0,7,0%,4.71
Angola,0,7,0%,6.57
Barbados,0,7,0%,8.43
Rwanda,0,7,0%,8.43
Laos,0,7,0%,8.71
Mauritius,0,7,0%,8.86
Zambia,0,7,0%,18.43
Zimbabwe,0,6,0%,7.67
Belize,0,6,0%,8.33
Fiji,0,5,0%,5
American Samoa,0,5,0%,7.6
Benin,0,5,0%,8.4
Réunion,0,5,0%,9
Yemen,0,5,0%,11
Mozambique,0,4,0%,5.5
St. Vincent & Grenadines,0,4,0%,6
Congo - Kinshasa,0,4,0%,6.25
Namibia,0,4,0%,6.25
Timor-Leste,0,4,0%,6.75
Isle of Man,0,4,0%,8
Turkmenistan,0,4,0%,8.5
Cape Verde,0,4,0%,9
Afghanistan,0,4,0%,9.5
Cayman Islands,0,4,0%,13
Brunei,0,4,0%,13.25
Sudan,0,3,0%,6.33
Guadeloupe,0,3,0%,6.67
Mauritania,0,3,0%,6.67
Burkina Faso,0,3,0%,7.33
Haiti,0,3,0%,7.33
Somalia,0,3,0%,7.33
Antigua & Barbuda,0,3,0%,7.67
Congo - Brazzaville,0,3,0%,7.67
Suriname,0,3,0%,8
Sierra Leone,0,3,0%,9
St. Lucia,0,3,0%,9.67
Swaziland,0,2,0%,1.5
Western Sahara,0,2,0%,3
Papua New Guinea,0,2,0%,3
Liechtenstein,0,2,0%,5.5
Guyana,0,2,0%,6
Vanuatu,0,2,0%,6
Malawi,0,2,0%,7
Lesotho,0,2,0%,7.5
Guernsey,0,2,0%,9.5
Bermuda,0,2,0%,13.5
Madagascar,0,2,0%,15
Micronesia,0,1,0%,1
Gibraltar,0,1,0%,1
St. Kitts & Nevis,0,1,0%,2
North Korea,0,1,0%,2
Seychelles,0,1,0%,2
French Polynesia,0,1,0%,3
Grenada,0,1,0%,4
Liberia,0,1,0%,4
British Virgin Islands,0,1,0%,4
Samoa,0,1,0%,4
Guam,0,1,0%,5
Solomon Islands,0,1,0%,6
Caribbean Netherlands,0,1,0%,7
Bhutan,0,1,0%,7
Guinea-Bissau,0,1,0%,7
Mali,0,1,0%,7
Sint Maarten,0,1,0%,8
Martinique,0,1,0%,9
Chad,0,1,0%,9
St. Barthélemy,0,1,0%,10
St. Martin,0,1,0%,10
New Caledonia,0,1,0%,10
Togo,0,1,0%,10
Monaco,0,1,0%,11
South Sudan,0,1,0%,11
US Virgin Islands,0,1,0%,11