Top pages,Clicks,Impressions,CTR,Position
https://www.nibzard.com/claude-code,126,9412,1.34%,7.49
https://www.nibzard.com/agentic-handbook,105,4896,2.14%,6.46
https://www.nibzard.com/claude-zhipu/,51,13527,0.38%,6.92
https://www.nibzard.com/ssh-tunnel-cloudflare,38,6814,0.56%,8.55
https://www.nibzard.com/dotfiles/,22,1495,1.47%,10.84
https://www.nibzard.com/berghain/,13,2223,0.58%,7.86
https://www.nibzard.com/looper-article,12,1254,0.96%,7.71
https://www.nibzard.com/,10,500,2%,2.53
https://www.nibzard.com/about,7,369,1.9%,4.67
https://www.nibzard.com/projects,4,840,0.48%,5.62
https://www.nibzard.com/campfire-oracle-cloud/,4,516,0.78%,8.25
https://www.nibzard.com/log/agent-web/,4,200,2%,5.47
https://www.nibzard.com/bio/,3,301,1%,5.14
https://www.nibzard.com/x-grok-algorithm,2,2422,0.08%,7.05
https://www.nibzard.com/ampcode,2,1152,0.17%,9.52
https://www.nibzard.com/unified-skills,2,215,0.93%,7.65
https://www.nibzard.com/?page=2,2,121,1.65%,6.6
https://nibzard.com/bio/,2,30,6.67%,6.87
https://www.nibzard.com/log,1,555,0.18%,5.73
https://nibzard.com/search/,1,292,0.34%,6.8
https://www.nibzard.com/ai-ate-its-tail,1,175,0.57%,6.37
https://www.nibzard.com/agent-labs/,1,158,0.63%,8.03
https://www.nibzard.com/agentprobe/,1,94,1.06%,4.56
https://www.nibzard.com/agent-stress-test,1,91,1.1%,5.18
https://www.nibzard.com/agent-labs,1,88,1.14%,6.89
https://www.nibzard.com/agent-experience/,1,84,1.19%,5
https://www.nibzard.com/post-copyright-era-software,1,75,1.33%,7.73
https://www.nibzard.com/orchestration-era,1,58,1.72%,5.28
https://www.nibzard.com/ai-native,1,17,5.88%,8.47
https://www.nibzard.com/tags/production,1,8,12.5%,4.75
https://www.nibzard.com/tags/ai/,0,289,0%,6.26
https://www.nibzard.com/claude-dual-provider/,0,276,0%,8.22
https://www.nibzard.com/2025-year-in-review,0,271,0%,7.08
https://nibzard.com/claude-zhipu/,0,270,0%,9.09
https://www.nibzard.com/ai-bottleneck/,0,262,0%,6.89
https://www.nibzard.com/tags/agents/,0,218,0%,4.13
https://www.nibzard.com/ai-coding-agents,0,218,0%,9.05
https://www.nibzard.com/ai-design-principles,0,201,0%,5.23
https://nibzard.com/log/2025-year-in-review/,0,193,0%,6.28
https://nibzard.com/log/agent-web/,0,149,0%,5.77
https://www.nibzard.com/theloop,0,139,0%,7.33
https://www.nibzard.com/chrome-extension-ai/,0,135,0%,6.67
https://www.nibzard.com/fre-production/,0,129,0%,9.47
https://www.nibzard.com/trust/,0,109,0%,7.2
https://www.nibzard.com/startup-moat/,0,108,0%,4.83
https://www.nibzard.com/agentprobe,0,102,0%,7.07
https://www.nibzard.com/now,0,99,0%,4.79
https://www.nibzard.com/tags/tools/,0,97,0%,4.92
https://www.nibzard.com/log/2025-year-in-review/,0,94,0%,7.29
https://nibzard.com/log/agent-ci/,0,90,0%,7.38
https://www.nibzard.com/agent-identity,0,89,0%,6.75
https://www.nibzard.com/tags/growth/,0,85,0%,4.65
https://www.nibzard.com/?page=3,0,85,0%,6.4
https://www.nibzard.com/silent-revolution,0,85,0%,7.8
https://nibzard.com/log/agent-stress-test/,0,84,0%,4.81
https://www.nibzard.com/log/out-of-weights/,0,82,0%,5.96
https://www.nibzard.com/agent-stack,0,73,0%,4.14
https://www.nibzard.com/autopsy/,0,71,0%,6.52
https://www.nibzard.com/search/,0,70,0%,10
https://www.nibzard.com/api-first,0,67,0%,4.57
https://www.nibzard.com/fre-production,0,66,0%,7.38
https://www.nibzard.com/?page=6,0,63,0%,6.41
https://www.nibzard.com/mention-engineering/,0,62,0%,6.27
https://www.nibzard.com/architecture/,0,59,0%,3.42
https://www.nibzard.com/bubble-long-game,0,59,0%,11.37
https://www.nibzard.com/ai-research/,0,58,0%,5.59
https://www.nibzard.com/disequilibrium,0,56,0%,7.91
https://www.nibzard.com/tags/claude/,0,53,0%,5.23
https://nibzard.com/log/meat-moat/,0,53,0%,6.55
https://nibzard.com/log/out-of-weights/,0,53,0%,6.94
https://www.nibzard.com/demig,0,52,0%,7.37
https://www.nibzard.com/looper-article/,0,50,0%,7.9
https://www.nibzard.com/tags/human/,0,48,0%,5.81
https://www.nibzard.com/agent-stress-test/?utm_source=tldrnewsletter,0,48,0%,7.85
https://www.nibzard.com/log/agent-ci/,0,48,0%,8.73
https://www.nibzard.com/thoughts,0,47,0%,6.02
https://www.nibzard.com/agent-pricing,0,47,0%,7.77
https://www.nibzard.com/anti-playbook-ai-dev-tools-growth-strategy,0,46,0%,8.76
https://www.nibzard.com/?page=5,0,44,0%,4.11
https://www.nibzard.com/?page=4,0,44,0%,4.91
https://www.nibzard.com/hn-hug,0,44,0%,9.09
https://www.nibzard.com/?page=7,0,40,0%,6.6
https://www.nibzard.com/ai-discovery,0,39,0%,4.28
https://www.nibzard.com/structure,0,39,0%,6.31
https://nibzard.com/log/architecture/,0,38,0%,6.32
https://nibzard.com/tags/cli/,0,30,0%,5.33
https://www.nibzard.com/20yr-tech-cycle,0,30,0%,6.57
https://www.nibzard.com/instantiation-era,0,30,0%,6.77
https://nibzard.com/dotfiles/,0,30,0%,9.23
https://nibzard.com/log/trust/,0,29,0%,5.62
https://www.nibzard.com/bun-acquisition,0,28,0%,6.18
https://www.nibzard.com/outcome-liability/,0,28,0%,6.68
https://www.nibzard.com/shower-to-production/,0,28,0%,9.75
https://www.nibzard.com/tags/production/,0,27,0%,4.56
https://www.nibzard.com/wrappers/,0,27,0%,7.37
https://www.nibzard.com/growth-value-flow,0,27,0%,8.15
https://www.nibzard.com/oracles/,0,26,0%,9.04
https://nibzard.com/ampcode,0,26,0%,9.58
https://www.nibzard.com/great-coding-agent,0,26,0%,11.35
https://nibzard.com/tags/developer-tools/,0,25,0%,2.12
https://www.nibzard.com/agent-web,0,25,0%,7.68
https://www.nibzard.com/startup-moat,0,25,0%,8.4
https://www.nibzard.com/thoughts/250728,0,23,0%,5.39
https://www.nibzard.com/log/meat-moat/,0,23,0%,5.91
https://www.nibzard.com/orchestrated-mind,0,23,0%,6.22
https://www.nibzard.com/tags/ai,0,23,0%,9.96
https://www.nibzard.com/tags/strategy/,0,21,0%,6.14
https://www.nibzard.com/?page=9,0,20,0%,6.35
https://www.nibzard.com/blink,0,20,0%,7.5
https://nibzard.com/tags/liability/,0,18,0%,3
https://www.nibzard.com/tags/steel/,0,18,0%,4.11
https://www.nibzard.com/eager-agents/,0,18,0%,4.61
https://nibzard.com/tags/ai/,0,18,0%,4.78
https://www.nibzard.com/tags/discovery/,0,17,0%,4.94
https://nibzard.com/sitemap-0.xml,0,17,0%,7
https://www.nibzard.com/agent-ci,0,17,0%,10.59
https://nibzard.com/tags/devex/,0,16,0%,4.31
https://nibzard.com/tags/strategy/,0,16,0%,4.38
https://www.nibzard.com/tags/patterns/,0,16,0%,4.69
https://nibzard.com/tags/code/,0,16,0%,6.75
https://nibzard.com/tags/lessons/,0,15,0%,3.2
https://nibzard.com/tags/developer-experience/,0,15,0%,5.47
https://www.nibzard.com/tags/twitter/,0,15,0%,8.33
https://www.nibzard.com/hard-problems,0,14,0%,6.07
https://nibzard.com/vacuum/,0,14,0%,8.64
https://nibzard.com/tags/steel/,0,13,0%,4.62
https://nibzard.com/trust/,0,13,0%,9.69
https://www.nibzard.com/out-of-weights,0,13,0%,13.23
https://www.nibzard.com/tags/documentation,0,12,0%,1.42
https://www.nibzard.com/tags/documentation/,0,12,0%,1.83
https://www.nibzard.com/tags/bash,0,11,0%,6.82
https://www.nibzard.com/tags/developer-experience/,0,11,0%,8.55
https://nibzard.com/looper-article,0,11,0%,9.55
https://nibzard.com/campfire-oracle-cloud/,0,11,0%,10.27
https://nibzard.com/tags/tooling/,0,10,0%,2.7
https://nibzard.com/tags/growth/,0,10,0%,3.4
https://www.nibzard.com/nudges,0,10,0%,6.5
https://www.nibzard.com/tags/startups/,0,9,0%,5.44
https://www.nibzard.com/tags/x/,0,9,0%,9.11
https://www.nibzard.com/?page=8,0,8,0%,9
https://nibzard.com/tags/operations/,0,7,0%,2.43
https://nibzard.com/tags/seo/,0,7,0%,4.43
https://nibzard.com/tags/cheatsheet/,0,7,0%,4.71
https://nibzard.com/tags/patterns/,0,7,0%,6.43
https://www.nibzard.com/tags/coding/,0,7,0%,8
https://www.nibzard.com/transformer-orchestration/,0,7,0%,8.29
https://www.nibzard.com/tags/experience/,0,6,0%,2
https://www.nibzard.com/tags/development/,0,6,0%,2.5
https://www.nibzard.com/tags/search/,0,6,0%,5.67
https://www.nibzard.com/now/,0,6,0%,6.33
https://www.nibzard.com/tags/marketing,0,6,0%,7.5
https://www.nibzard.com/chrome-extension-ai,0,6,0%,9.5
https://www.nibzard.com/tags/cloudflare,0,5,0%,4.6
https://nibzard.com/tags/coding/,0,5,0%,5.4
https://www.nibzard.com/thoughts/250728/,0,5,0%,7.8
https://www.nibzard.com/tags/ax/,0,4,0%,1.25
https://nibzard.com/tags/dotfiles/,0,4,0%,4
https://www.nibzard.com/tags/data,0,4,0%,4
https://nibzard.com/tags/oracle cloud/,0,4,0%,5.5
https://www.nibzard.com/tags/research/,0,4,0%,6.75
https://www.nibzard.com/sitemap-0.xml,0,4,0%,8
https://nibzard.com/log/disequilibrium/,0,4,0%,9
https://www.nibzard.com/tags/orchestration/,0,4,0%,9
https://www.nibzard.com/tags/software/,0,4,0%,12.25
https://www.nibzard.com/tags/identity,0,3,0%,2
https://www.nibzard.com/tags/reasoning/,0,3,0%,2
https://nibzard.com/tags/bash/,0,3,0%,3
https://www.nibzard.com/tags/history,0,3,0%,3.33
https://www.nibzard.com/tags/architecture,0,3,0%,3.67
https://nibzard.com/tags/future/,0,3,0%,4
https://nibzard.com/tags/symlinks/,0,3,0%,4.67
https://www.nibzard.com/tags/grok,0,3,0%,4.67
https://nibzard.com/tags/til/,0,3,0%,5
https://www.nibzard.com/tags/policy/,0,3,0%,5
https://nibzard.com/eager-agents/,0,3,0%,5.67
https://www.nibzard.com/tags/slop/,0,3,0%,5.67
https://nibzard.com/ssh-tunnel-cloudflare,0,3,0%,6
https://nibzard.com/unsubscribe/,0,3,0%,6
https://nibzard.com/tags/discovery/,0,3,0%,6.33
https://www.nibzard.com/styles,0,3,0%,8
https://nibzard.com/silent-revolution,0,3,0%,8.67
https://nibzard.com/agentprobe/,0,2,0%,1.5
https://nibzard.com/claude-code,0,2,0%,1.5
https://nibzard.com/tags/copyright/,0,2,0%,2
https://nibzard.com/tags/twitter/,0,2,0%,2
https://www.nibzard.com/tags/diffusion/,0,2,0%,2
https://www.nibzard.com/tags/performance/,0,2,0%,2
https://www.nibzard.com/tags/tech/,0,2,0%,2
https://www.nibzard.com/tags/fomo/,0,2,0%,3
https://www.nibzard.com/thoughts/260115/,0,2,0%,3
https://nibzard.com/tags/diffusion/,0,2,0%,3.5
https://www.nibzard.com/tags/future/,0,2,0%,6
https://www.nibzard.com/tags/teams/,0,2,0%,6.5
https://nibzard.com/thoughts/250728/,0,2,0%,7
https://nibzard.com/tags/featured/,0,2,0%,7.5
https://www.nibzard.com/converted/,0,2,0%,7.5
https://www.nibzard.com/tags/cheatsheet,0,2,0%,7.5
https://www.nibzard.com/tags/reverse-engineering/,0,2,0%,8
https://www.nibzard.com/tags/experiment/,0,2,0%,9
https://www.nibzard.com/tags/go,0,2,0%,9
https://nibzard.com/agentprobe,0,2,0%,10
https://www.nibzard.com/tags/cli/,0,2,0%,15.5
https://www.nibzard.com/tags/copyright/,0,2,0%,18.5
https://www.nibzard.com/tags/optimization/,0,2,0%,21
https://nibzard.com/,0,1,0%,1
https://www.nibzard.com/hard-problems?utm_source=hnblogs.substack.com,0,1,0%,1
https://www.nibzard.com/tags/automation/,0,1,0%,1
https://www.nibzard.com/tags/developer-tools/,0,1,0%,1
https://nibzard.com/tags/ai code/,0,1,0%,2
https://nibzard.com/tags/career/,0,1,0%,2
https://nibzard.com/tags/fomo/,0,1,0%,2
https://www.nibzard.com/tags/anthropic,0,1,0%,2
https://www.nibzard.com/tags/oracle cloud/,0,1,0%,2
https://www.nibzard.com/tags/transparency/,0,1,0%,2
https://www.nibzard.com/tags/webdev/,0,1,0%,2
https://www.nibzard.com/tags/year-in-review,0,1,0%,2
https://nibzard.com/tags/tech/,0,1,0%,3
https://nibzard.com/tags/x/,0,1,0%,3
https://www.nibzard.com/tags/ai code/,0,1,0%,3
https://www.nibzard.com/tags/devtools/,0,1,0%,3
https://nibzard.com/tags/meta/,0,1,0%,4
https://www.nibzard.com/tags/principles,0,1,0%,4
https://nibzard.com/hard-problems,0,1,0%,6
https://nibzard.com/tags/go/,0,1,0%,6
https://nibzard.com/tags/deployment/,0,1,0%,7
https://nibzard.com/tags/disruption/,0,1,0%,7
https://www.nibzard.com/tags/deployment/,0,1,0%,7
https://nibzard.com/agentic-handbook,0,1,0%,8
https://www.nibzard.com/amplification/,0,1,0%,8
https://www.nibzard.com/sitemap-index.xml,0,1,0%,8
https://nibzard.com/ai-bottleneck/,0,1,0%,9
https://nibzard.com/tags/software/,0,1,0%,9
https://nibzard.com/tags/startups/,0,1,0%,9
https://www.nibzard.com/log/disequilibrium/,0,1,0%,9
https://www.nibzard.com/tags/coding,0,1,0%,9
https://www.nibzard.com/tags/featured/,0,1,0%,9
https://nibzard.com/tags/tools/,0,1,0%,10
https://www.nibzard.com/tags,0,1,0%,10
https://www.nibzard.com/tags/engineering/,0,1,0%,10
https://www.nibzard.com/thoughts/250525/,0,1,0%,10
https://nibzard.com/tags/workflow/,0,1,0%,11
https://www.nibzard.com/tags/teams,0,1,0%,31
https://www.nibzard.com/tags/growth-mindset/,0,1,0%,46